Player,Pos,Age,Exp,PPG,RPG,APG,FA_Type
Precious Achiuwa,F,26,6,10.1,6.7,1.4,ufa
Ochai Agbaji,G,26,4,5.1,2.3,0.8,rfa
Trey Alexander,G,23,2,5.2,1.2,1.0,rfa
Jose Alvarado,G,28,5,7.4,2.5,3.4,ufa
Kyle Anderson,F-G,32,12,6.2,3.5,2.9,ufa
Thanasis Antetokounmpo,F,33,7,1.4,0.9,0.4,ufa
Alex Antetokounmpo,F,24,1,3.2,1.0,0.2,rfa
Deandre Ayton,C,27,8,12.5,8.0,0.8,ufa
Marvin Bagley III,F,27,8,10.5,6.1,1.4,ufa
Patrick Baldwin Jr.,F,23,4,3.7,2.6,0.6,ufa
Dalano Banton,F,26,5,2.0,0.8,1.8,ufa
Dominick Barlow,F,23,4,7.7,4.8,1.2,ufa
Harrison Barnes,F,34,14,9.9,2.8,1.9,ufa
Brooks Barnhizer,G,24,1,1.7,2.0,0.6,rfa
Charles Bassey,C-F,25,5,5.8,4.4,0.5,ufa
Nicolas Batum,G-F,37,18,4.0,2.5,0.9,ufa
Bradley Beal,G,33,14,8.2,0.8,1.7,ufa
MarJon Beauchamp,F,25,4,6.8,2.3,1.1,ufa
Bismack Biyombo,C,33,15,0.9,1.0,0.2,ufa
Bogdan Bogdanovic,G,33,9,7.4,2.6,2.2,ufa
Jamaree Bouyea,G,27,4,5.7,1.8,1.8,ufa
Tony Bradley,C-F,28,8,4.0,2.8,0.5,ufa
Koby Brea,G,23,1,3.8,0.7,0.8,rfa
Kobe Brown,F,26,3,5.8,3.0,1.3,ufa
Bruce Brown,G-F,29,8,7.9,3.9,2.1,ufa
Thomas Bryant,C-F,28,9,6.2,3.4,0.6,ufa
Jamal Cain,F,27,4,5.4,2.0,0.7,ufa
Kentavious Caldwell-Pope,G,33,13,8.4,2.5,2.7,ufa
Branden Carlson,C,27,2,5.8,3.0,0.7,rfa
Jevon Carter,G,30,8,6.4,1.7,1.6,ufa
Colin Castleton,C,26,3,1.3,2.0,0.3,rfa
Julian Champagnie,F,24,4,11.1,5.8,1.5,ufa
Moussa Cisse,C,23,1,4.5,5.7,0.2,rfa
Jaylen Clark,G,24,2,4.0,1.8,0.6,rfa
Jordan Clarkson,G,34,12,8.6,1.8,1.3,ufa
Amir Coffey,G-F,29,7,3.2,1.2,0.6,ufa
John Collins,F-C,28,9,13.6,5.3,1.0,ufa
Zach Collins,F-C,28,9,9.7,5.6,1.5,ufa
Mike Conley,G,38,19,4.5,1.7,2.9,ufa
Pat Connaughton,G,33,11,2.6,1.5,0.4,ufa
Sharife Cooper,G,25,2,8.1,2.1,3.0,rfa
Isaiah Crawford,F,24,2,2.0,1.1,0.4,rfa
Seth Curry,G,35,13,7.1,1.2,1.0,ufa
JD Davison,G,23,4,2.5,1.2,1.3,ufa
Mohamed Diawara,F,21,1,3.6,1.4,0.8,rfa
Hunter Dickinson,C,25,1,2.4,1.0,0.4,rfa
Ousmane Dieng,F,23,4,7.6,3.2,2.4,rfa
Luguentz Dort,G,27,7,8.3,3.6,1.2,ufa
Ayo Dosunmu,G,26,5,14.8,3.4,3.6,ufa
Andre Drummond,C,32,14,6.4,8.4,1.3,ufa
Jalen Duren,C,22,4,19.5,10.5,2.0,rfa
Tari Eason,F,25,4,10.5,6.3,1.5,rfa
Keon Ellis,G,26,4,6.7,1.9,1.0,ufa
Tyson Etienne,G,26,2,7.9,1.1,1.7,rfa
Drew Eubanks,F-C,29,8,5.2,3.0,0.5,ufa
Simone Fontecchio,F,30,4,8.5,3.0,1.4,ufa
Enrique Freeman,F,25,2,3.3,2.5,0.5,rfa
Anthony Gill,F,33,6,5.8,2.9,1.3,ufa
Collin Gillespie,G,27,3,12.7,4.1,4.6,ufa
Vladislav Goldin,C,25,1,0.8,1.0,0.3,rfa
Jordan Goodwin,G,27,5,8.7,4.9,2.2,ufa
Javonte Green,G,32,7,6.9,2.8,0.7,ufa
Draymond Green,F,36,14,8.4,5.5,5.5,ufa
Jeff Green,F,39,19,2.2,0.8,0.3,ufa
Quentin Grimes,G,26,5,13.4,3.6,3.3,ufa
Mouhamed Gueye,F,23,3,4.4,3.6,0.9,rfa
Mouhamadou Gueye,F,27,2,8.0,3.0,3.0,rfa
Rui Hachimura,F,28,7,11.5,3.3,0.8,ufa
Tim Hardaway Jr.,G-F,34,13,13.5,2.6,1.4,ufa
James Harden,G,36,17,23.6,4.8,8.0,ufa
Elijah Harkless,G,26,2,6.8,2.0,2.9,rfa
Ron Harper Jr.,G-F,26,4,4.2,1.7,0.8,ufa
Tobias Harris,F,33,15,13.3,5.1,2.5,ufa
Gary Harris,G,31,12,2.7,1.3,1.1,ufa
Isaiah Hartenstein,C-F,28,8,9.2,9.4,3.5,ufa
Jaxson Hayes,C-F,26,7,7.5,4.1,0.9,ufa
Killian Hayes,G,24,6,5.5,2.3,3.5,ufa
Chucky Hepburn,G,23,1,0.0,0.5,1.0,rfa
Aaron Holiday,G,29,8,5.5,1.0,1.1,ufa
Al Horford,C-F,40,19,8.3,4.9,2.6,ufa
Jett Howard,G,22,3,5.5,1.6,0.8,ufa
Kevin Huerter,G-F,27,8,10.0,3.5,2.6,ufa
Ariel Hukporti,C,24,2,2.2,2.9,0.5,rfa
Bones Hyland,G,25,5,8.5,1.8,2.6,ufa
Joe Ingles,F-G,38,12,1.5,0.7,1.3,ufa
Harrison Ingram,F,23,2,1.6,0.4,0.1,rfa
GG Jackson,F,21,3,12.5,4.3,1.5,rfa
Andre Jackson Jr.,G,24,3,2.4,1.5,0.9,rfa
Trayce Jackson-Davis,F,26,3,3.4,2.7,0.7,rfa
LeBron James,F,41,23,20.9,6.1,7.2,ufa
Trey Jemison III,C,26,3,1.0,1.4,0.4,rfa
Daniss Jenkins,G,24,2,9.3,2.3,3.9,rfa
Keshad Johnson,F,25,2,4.3,1.9,0.3,rfa
Chaney Johnson,G-F,24,1,8.2,4.6,2.1,rfa
Curtis Jones,G,24,1,2.9,1.1,1.0,rfa
Dillon Jones,F,24,2,1.3,1.0,0.6,ufa
Spencer Jones,F,25,2,5.5,3.3,0.8,rfa
Tyus Jones,G,30,11,3.0,1.1,2.4,ufa
David Jones Garcia,G,24,1,2.9,1.2,1.6,rfa
DeAndre Jordan,C,37,18,4.4,6.3,0.9,ufa
Yuki Kawamura,G,25,2,3.4,1.8,2.6,rfa
Trevor Keels,G,22,2,1.0,0.3,0.0,rfa
Luke Kennard,G,30,9,8.4,2.3,2.2,ufa
Walker Kessler,C,24,4,14.4,10.8,3.0,rfa
Maxi Kleber,F,34,9,2.0,2.0,0.6,ufa
Christian Koloko,C,26,4,2.7,3.0,0.7,rfa
Jonathan Kuminga,F,23,5,12.2,5.6,2.3,ufa
Zach LaVine,G,31,12,19.2,2.8,2.3,ufa
Jock Landale,C,30,5,10.6,5.7,1.7,ufa
Pelle Larsson,G,25,2,11.4,3.5,3.4,rfa
AJ Lawson,G,25,4,4.2,1.8,0.3,ufa
EJ Liddell,F,25,3,5.7,2.7,0.9,rfa
Isaiah Livers,F,27,4,1.8,1.7,0.6,rfa
Kevon Looney,F,30,11,2.8,5.6,1.6,ufa
Brook Lopez,C,38,18,8.5,3.6,1.3,ufa
Kevin Love,F-C,37,18,6.7,5.8,1.8,ufa
Caleb Love,G,24,1,10.4,2.3,2.5,rfa
Kyle Lowry,G,40,20,1.2,0.6,0.8,ufa
Sandro Mamukelashvili,F-C,27,5,11.2,4.9,1.9,ufa
Tyrese Martin,F,27,3,6.3,2.5,1.7,rfa
Alijah Martin,G,24,1,2.2,0.9,0.5,rfa
Bennedict Mathurin,G-F,24,4,17.6,5.4,2.4,rfa
Karlo Matkovic,F-C,25,2,5.7,3.7,0.8,rfa
Bez Mbeng,G,23,1,8.1,3.8,4.1,rfa
Mac McClung,G,27,4,6.1,0.9,0.9,rfa
CJ McCollum,G,34,13,18.7,3.3,3.9,ufa
